"Zeit";"Einstrahlung auf die Horizontale ";"Diffusstrahlung auf die Horizontale ";"Außentemperatur ";"Gebäude 01-Dachfläche Süd: Sonnenhöhe ";"Gebäude 01-Dachfläche Süd: Einstrahlung auf die geneigte Fläche ";"Gebäude 01-Dachfläche Süd: Modultemperatur ";"Strom (AC) Wechselrichter 1 (SolarEdge SE10K-RWS-EU-APAC/AUS)  ";"Leerlaufspannung (MPP 1, Wechselrichter 1 (SolarEdge SE10K-RWS-EU-APAC/AUS)) ";"MPP-Spannung (MPP 1, Wechselrichter 1 (SolarEdge SE10K-RWS-EU-APAC/AUS)) ";"Netzeinspeisung ";"Netzbezug ";"Verbrauch ";"Einspeiseabregelung ";"Eigenverbrauch ";"Globalstrahlung horizontal ";"Abweichung vom Standardspektrum ";"Bodenreflexion (Albedo) ";"Ausrichtung und Neigung der Modulebene ";"Abschattung ";"Reflexion an Moduloberfläche ";"Einstrahlung auf die Modul-Rückseite ";"Globalstrahlung auf Modul ";"Gebäude 01-Dachfläche Süd: Globalstrahlung horizontal ";"Gebäude 01-Dachfläche Süd: Verluste durch Abweichung vom Standardspektrum ";"Gebäude 01-Dachfläche Süd: Verluste durch Bodenreflexion (Albedo) ";"Gebäude 01-Dachfläche Süd: Gewinne durch Ausrichtung und Neigung der Modulebene ";"Gebäude 01-Dachfläche Süd: Verluste durch Abschattung ";"Gebäude 01-Dachfläche Süd: Reflexion an Moduloberfläche ";"Gebäude 01-Dachfläche Süd: Einstrahlung auf die Modul-Rückseite ";"Gebäude 01-Dachfläche Süd: Globalstrahlung auf Modul ";"PV Globalstrahlung ";"Bifazialität ";"Verschmutzung ";"STC Konversion (Modul-Nennwirkungsgrad) ";"PV Nennenergie ";"Schwachlichtverhalten ";"Modulspezifische Teilabschattung ";"Abweichung von der Nenn-Modultemperatur ";"Dioden ";"Mismatch (Herstellerangaben) ";"Mismatch (Verschaltung/Abschattung) ";"Leistungsoptimierer (DC-Wandlung/Abregelung) ";"PV-Energie (DC) ohne Wechselrichter-Abregelung ";"Unterschreitung der DC-Startleistung ";"Abregelung wegen MPP-Spannungsbereich ";"Abregelung wegen max. DC-Strom ";"Abregelung wegen max. DC-Leistung ";"Abregelung wegen max. AC-Leistung/cos phi ";"MPP Anpassung ";"PV-Energie (DC) ";"Wechselrichter 1 - MPP 1 - an Gebäude 01-Dachfläche Süd: PV Globalstrahlung ";"Wechselrichter 1 - MPP 1 - an Gebäude 01-Dachfläche Süd: Verluste durch Bifazialität ";"Wechselrichter 1 - MPP 1 - an Gebäude 01-Dachfläche Süd: Verluste durch Verschmutzung ";"Wechselrichter 1 - MPP 1 - an Gebäude 01-Dachfläche Süd: Verluste durch STC Konversion (Modul-Nennwirkungsgrad) ";"Wechselrichter 1 - MPP 1 - an Gebäude 01-Dachfläche Süd: PV Nennenergie ";"Wechselrichter 1 - MPP 1 - an Gebäude 01-Dachfläche Süd: Verluste durch Modulspezifische Teilabschattung ";"Wechselrichter 1 - MPP 1 - an Gebäude 01-Dachfläche Süd: Verluste durch Schwachlichtverhalten ";"Wechselrichter 1 - MPP 1 - an Gebäude 01-Dachfläche Süd: Verluste durch Abweichung von der Nenn-Modultemperatur ";"Wechselrichter 1 - MPP 1 - an Gebäude 01-Dachfläche Süd: Dioden ";"Wechselrichter 1 - MPP 1 - an Gebäude 01-Dachfläche Süd: Verluste durch Mismatch (Herstellerangaben) ";"Wechselrichter 1 - MPP 1 - an Gebäude 01-Dachfläche Süd: Verluste durch Mismatch (Verschaltung/Abschattung) ";"Leistungsoptimierer (DC-Wandlung/Abregelung) *";"Wechselrichter 1 - MPP 1 - an Gebäude 01-Dachfläche Süd: PV-Energie (DC) ohne Wechselrichter-Abregelung ";"Wechselrichter 1 - MPP 1 - an Gebäude 01-Dachfläche Süd: Unterschreitung der DC-Startleistung ";"Wechselrichter 1 - MPP 1 - an Gebäude 01-Dachfläche Süd: Abregelung wegen MPP-Spannungsbereich ";"Wechselrichter 1 - MPP 1 - an Gebäude 01-Dachfläche Süd: Abregelung wegen max. DC-Strom ";"Wechselrichter 1 - MPP 1 - an Gebäude 01-Dachfläche Süd: Abregelung wegen max. DC-Leistung ";"Wechselrichter 1 - MPP 1 - an Gebäude 01-Dachfläche Süd: Abregelung wegen max. AC-Leistung/cos phi ";"Wechselrichter 1 - MPP 1 - an Gebäude 01-Dachfläche Süd: Verluste durch MPP Anpassung ";"Wechselrichter 1 - MPP 1 - an Gebäude 01-Dachfläche Süd: PV-Energie (DC) ";"Energie am WR-Eingang ";"Abweichung der Eingangs- von der Nennspannung ";"DC/AC-Wandlung ";"Eigenverbrauch (Standby oder Nacht) ";"Kabelverluste Gesamt ";"PV-Energie (AC) abzgl. Standby-Verbrauch ";"Eingespeiste Energie ";"Wechselrichter 1 an Gebäude 01-Dachfläche Süd: Energie am WR-Eingang ";"Wechselrichter 1 an Gebäude 01-Dachfläche Süd: Verluste durch Abweichung der Eingangs- von der Nennspannung ";"Wechselrichter 1 an Gebäude 01-Dachfläche Süd: Verluste durch DC/AC-Wandlung ";"Wechselrichter 1 an Gebäude 01-Dachfläche Süd: Eigenverbrauch (Standby oder Nacht) ";"Wechselrichter 1 an Gebäude 01-Dachfläche Süd: Kabelverluste Gesamt ";"Wechselrichter 1 an Gebäude 01-Dachfläche Süd: PV-Energie (AC) abzgl. Standby-Verbrauch ";"Wechselrichter 1 an Gebäude 01-Dachfläche Süd: Eingespeiste Energie ";
19.08. 10:00;0,13046;0,12781;25,53;44,357;0,12032;28,68;4,782;1440;719,89;1,0836;0;0,016199;0;0,016199;0,13046;-0,0013046;0,0023358;-0,01117;0;0;0;0,12032;0,13046;-0,0013046;0,0023358;-0,01117;0;0;0;0,12032;5,639;0;0;-4,426;1,2129;-0,0342;0;-0,012997;0;0;0;-0,0058286;1,1599;0;-0,020816;0;0;0;0;1,1391;5,639;0;0;-4,426;1,2129;0;-0,0342;-0,012997;0;0;0;-0,0058286;1,1599;0;-0,020816;0;0;0;0;1,1391;1,1391;0;-0,039228;0;0;1,0998;1,0998;1,1391;0;-0,039228;0;0;1,0998;1,0998;
19.08. 11:00;0,13565;0,13278;25,95;49,858;0,12519;29,28;4,9821;1440;719,62;1,1297;0;0,016196;0;0,016196;0,13565;-0,0013565;0,0024287;-0,01153;0;0;0;0,12519;0,13565;-0,0013565;0,0024287;-0,01153;0;0;0;0,12519;5,8673;0;0;-4,6052;1,262;-0,032995;0;-0,015796;0;0;0;-0,0060662;1,2072;0;-0,021064;0;0;0;0;1,1861;5,8673;0;0;-4,6052;1,262;0;-0,032995;-0,015796;0;0;0;-0,0060662;1,2072;0;-0,021064;0;0;0;0;1,1861;1,1861;0;-0,040213;0;0;1,1459;1,1459;1,1861;0;-0,040213;0;0;1,1459;1,1459;
19.08. 12:00;0,1521;0,14904;26,25;52,142;0,14033;29,99;5,6257;1440;721,96;1,2777;0;0,016181;0;0,016181;0,1521;-0,001521;0,0027232;-0,012971;0;0;0;0,14033;0,1521;-0,001521;0,0027232;-0,012971;0;0;0;0,14033;6,5768;0;0;-5,1621;1,4146;-0,028593;0;-0,020732;0;0;0;-0,0068265;1,3585;0;-0,021542;0;0;0;0;1,3369;6,5768;0;0;-5,1621;1,4146;0;-0,028593;-0,020732;0;0;0;-0,0068265;1,3585;0;-0,021542;0;0;0;0;1,3369;1,3369;0;-0,04303;0;0;1,2939;1,2939;1,3369;0;-0,04303;0;0;1,2939;1,2939;
19.08. 13:00;0,14211;0,13917;26,62;50,596;0,13113;30,15;5,2237;1440;718,86;1,0369;0;0,16458;0;0,16458;0,14211;-0,0014211;0,0025443;-0,012099;0;0;0;0,13113;0,14211;-0,0014211;0,0025443;-0,012099;0;0;0;0,13113;6,1457;0;0;-4,8238;1,3219;-0,031544;0;-0,01993;0;0;0;-0,0063522;1,2641;0;-0,021301;0;0;0;0;1,2428;6,1457;0;0;-4,8238;1,3219;0;-0,031544;-0,01993;0;0;0;-0,0063522;1,2641;0;-0,021301;0;0;0;0;1,2428;1,2428;0;-0,041332;0;0;1,2015;1,2015;1,2428;0;-0,041332;0;0;1,2015;1,2015;
19.08. 14:00;0,12025;0,11762;26,47;45,648;0,11098;29,51;4,3669;1440;714,66;0,98839;0;0,015992;0;0,015992;0,12025;-0,0012025;0,002153;-0,010223;0;0;0;0,11098;0,12025;-0,0012025;0,002153;-0,010223;0;0;0;0,11098;5,2011;0;0;-4,0823;1,1187;-0,03719;0;-0,014647;0;0;0;-0,0053345;1,0616;0;-0,02015;0;0;0;0;1,0414;5,2011;0;0;-4,0823;1,1187;0;-0,03719;-0,014647;0;0;0;-0,0053345;1,0616;0;-0,02015;0;0;0;0;1,0414;1,0414;0;-0,037023;0;0;1,0044;1,0044;1,0414;0;-0,037023;0;0;1,0044;1,0044;
19.08. 15:00;0,10582;0,10357;26,68;38,357;0,09758;29,33;3,7729;1440;710,33;0,85164;0;0,016119;0;0,016119;0,10582;-0,0010582;0,0018946;-0,0090759;0;0;0;0,09758;0,10582;-0,0010582;0,0018946;-0,0090759;0;0;0;0,09758;4,5732;0;0;-3,5895;0,98368;-0,040622;0;-0,012247;0;0;0;-0,004654;0,92616;0;-0,019892;0;0;0;0;0,90626;4,5732;0;0;-3,5895;0,98368;0;-0,040622;-0,012247;0;0;0;-0,004654;0,92616;0;-0,019892;0;0;0;0;0,90626;0,90626;0;-0,0385;0;0;0,86776;0,86776;0,90626;0;-0,0385;0;0;0,86776;0,86776;
19.08. 16:00;0,07469;0,072994;26,87;29,712;0,068815;28,77;2,5358;1440;697,42;0,56711;0;0,01613;0;0,01613;0,07469;-0,0007469;0,0013372;-0,0064658;0;0;0;0,068815;0,07469;-0,0007469;0,0013372;-0,0064658;0;0;0;0,068815;3,2251;0;0;-2,5314;0,6937;-0,046186;0;-0,0073236;0;0;0;-0,0032009;0,63699;0;-0,017205;0;0;0;0;0,61978;3,2251;0;0;-2,5314;0,6937;0;-0,046186;-0,0073236;0;0;0;-0,0032009;0,63699;0;-0,017205;0;0;0;0;0,61978;0,61978;0;-0,03654;0;0;0,58324;0,58324;0,61978;0;-0,03654;0;0;0,58324;0,58324;
19.08. 17:00;0,05385;0,052692;26,72;20,415;0,049476;28,11;1,4728;1440;683,57;0;0,28859;0,62735;0;0,33875;0,05385;-0,0005385;0,00096413;-0,0048;0;0;0;0,049476;0,05385;-0,0005385;0,00096413;-0,0048;0;0;0;0,049476;2,3187;0;0;-1,82;0,49875;-0,047689;0;-0,0042029;0;0;0;-0,0022343;0,44462;0;-0,014058;0;0;0;0;0,43056;2,3187;0;0;-1,82;0,49875;0;-0,047689;-0,0042029;0;0;0;-0,0022343;0,44462;0;-0,014058;0;0;0;0;0,43056;0,43056;0;-0,09181;0;0;0,33875;0,33875;0,43056;0;-0,09181;0;0;0,33875;0,33875;
19.08. 18:00;0,01956;0,019049;26,29;10,959;0,017801;26,86;0,13718;1440;621,01;0;1,6533;1,6848;0;0,031552;0,01956;-0,0001956;0,0003502;-0,0019132;0;0;0;0,017801;0,01956;-0,0001956;0,0003502;-0,0019132;0;0;0;0,017801;0,83428;0;0;-0,65483;0,17945;-0,04096;0;-0,00077456;0;0;0;-0,00068858;0,13703;0;-0,0056225;0;0;0;0;0,1314;0,83428;0;0;-0,65483;0,17945;0;-0,04096;-0,00077456;0;0;0;-0,00068858;0,13703;0;-0,0056225;0;0;0;0;0,1314;0,1314;0;-0,099853;0;0;0,031552;0,031552;0,1314;0;-0,099853;0;0;0,031552;0,031552;
19.08. 19:00;0,00206;0,0020394;24,18;1,7359;0,0018919;24,42;0,000209;1440;360,98;0;0,86385;0,8639;0;4,8103E-05;0,00206;-2,06E-05;3,6883E-05;-0,00018441;0;0;0;0,0018919;0,00206;-2,06E-05;3,6883E-05;-0,00018441;0;0;0;0,0018919;0,088664;0;0;-0,069593;0,019071;-0,013681;0;9,4472E-06;0;0;0;-2,7E-05;0,0053729;0;-0,00024211;0;0;0;0;0,0051308;0,088664;0;0;-0,069593;0,019071;0;-0,013681;9,4472E-06;0;0;0;-2,7E-05;0,0053729;0;-0,00024211;0;0;0;0;0,0051308;0,0051308;0;-0,0050827;0;0;4,8103E-05;4,8103E-05;0,0051308;0;-0,0050827;0;0;4,8103E-05;4,8103E-05;
19.08. 20:00;0;0;25,68;-6,8753;0;25,59;-0,01087;0;0;0;0,43454;0,43204;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,0025;0;-0,0025;0;0;0;0;-0,0025;0;-0,0025;0;
19.08. 21:00;0;0;25,28;-14,459;0;25,3;-0,01087;0;0;0;0,50214;0,49964;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,0025;0;-0,0025;0;0;0;0;-0,0025;0;-0,0025;0;
19.08. 22:00;0;0;24,56;-20,535;0;24,61;-0,01087;0;0;0;0,10058;0,098078;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,0025;0;-0,0025;0;0;0;0;-0,0025;0;-0,0025;0;
19.08. 23:00;0;0;24,39;-24,588;0;24,41;-0,01087;0;0;0;0,1667;0,1642;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,0025;0;-0,0025;0;0;0;0;-0,0025;0;-0,0025;0;
20.08. 00:00;0;0;23,51;-26,506;0;23,57;-0,01087;0;0;0;0,01859;0,01609;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,0025;0;-0,0025;0;0;0;0;-0,0025;0;-0,0025;0;
20.08. 01:00;0;0;22,54;-25,421;0;22,61;-0,01087;0;0;0;0,018735;0,016235;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,0025;0;-0,0025;0;0;0;0;-0,0025;0;-0,0025;0;
20.08. 02:00;0;0;22,02;-21,802;0;22,06;-0,01087;0;0;0;0,018582;0,016082;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,0025;0;-0,0025;0;0;0;0;-0,0025;0;-0,0025;0;
20.08. 03:00;0;0;21,51;-16,061;0;21,55;-0,01087;0;0;0;0,018577;0,016077;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,0025;0;-0,0025;0;0;0;0;-0,0025;0;-0,0025;0;
20.08. 04:00;0;0;21,15;-8,7134;0;21,18;-0,01087;0;0;0;0,16959;0,16709;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,0025;0;-0,0025;0;0;0;0;-0,0025;0;-0,0025;0;
20.08. 05:00;0,00135;0,0013365;21,12;-0,25315;0,0012398;21,12;-0,01087;0;0;0;0,018663;0,016163;0;0;0,00135;-1,35E-05;2,4169E-05;-0,00012085;0;0;0;0,0012398;0,00135;-1,35E-05;2,4169E-05;-0,00012085;0;0;0;0,0012398;0,058105;0;0;-0,045607;0,012498;-0,012498;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,058105;0;0;-0,045607;0,012498;0;-0,012498;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,0025;0;-0,0025;0;0;0;0;-0,0025;0;-0,0025;0;
20.08. 06:00;0,04475;0,04276;21,56;8,8898;0,039706;22,53;0,93217;1440;686,94;0;0,15362;0,36802;0;0,2144;0,04475;-0,0004475;0,0008012;-0,0053975;0;0;0;0,039706;0,04475;-0,0004475;0,0008012;-0,0053975;0;0;0;0,039706;1,8609;0;0;-1,4606;0,40027;-0,046382;0;0,0026265;0;0;0;-0,0017826;0,35473;0;-0,012191;0;0;0;0;0,34254;1,8609;0;0;-1,4606;0,40027;0;-0,046382;0,0026265;0;0;0;-0,0017826;0,35473;0;-0,012191;0;0;0;0;0,34254;0,34254;0;-0,12814;0;0;0,2144;0,2144;0,34254;0;-0,12814;0;0;0,2144;0,2144;
20.08. 07:00;0,10934;0,10317;22,15;18,333;0,10028;24,69;3,9593;1440;724,17;0,29984;0;0,61079;0;0,61079;0,10934;-0,0010934;0,0019576;-0,0099205;0;0;0;0,10028;0,10934;-0,0010934;0,0019576;-0,0099205;0;0;0;0,10028;4,6999;0;0;-3,689;1,0109;-0,038318;0;0,00089245;0;0;0;-0,0048675;0,96863;0;-0,020018;0;0;0;0;0,94862;4,6999;0;0;-3,689;1,0109;0;-0,038318;0,00089245;0;0;0;-0,0048675;0,96863;0;-0,020018;0;0;0;0;0,94862;0,94862;0;-0,037989;0;0;0,91063;0,91063;0,94862;0;-0,037989;0;0;0,91063;0,91063;
20.08. 08:00;0,15722;0,15043;22,69;27,689;0,14568;26,49;5,9295;1440;733,03;1,155;0;0,2088;0;0,2088;0,15722;-0,0015722;0,0028149;-0,012784;0;0;0;0,14568;0,15722;-0,0015722;0,0028149;-0,012784;0;0;0;0,14568;6,8274;0;0;-5,3588;1,4685;-0,02535;0;-0,0064426;0;0;0;-0,0071838;1,4296;0;-0,0216;0;0;0;0;1,408;6,8274;0;0;-5,3588;1,4685;0;-0,02535;-0,0064426;0;0;0;-0,0071838;1,4296;0;-0,0216;0;0;0;0;1,408;1,408;0;-0,044177;0;0;1,3638;1,3638;1,408;0;-0,044177;0;0;1,3638;1,3638;
20.08. 09:00;0,22704;0,21431;23,3;36,493;0,21248;28,86;8,8536;1440;738,72;1,8699;0;0,16641;0;0,16641;0,22704;-0,0022704;0,0040649;-0,016357;0;0;0;0,21248;0,22704;-0,0022704;0,0040649;-0,016357;0;0;0;0,21248;9,958;0;0;-7,816;2,1419;-0,0033474;0;-0,024753;0;0;0;-0,010569;2,1032;0;-0,0169;0;0;0;0;2,0863;9,958;0;0;-7,816;2,1419;0;-0,0033474;-0,024753;0;0;0;-0,010569;2,1032;0;-0,0169;0;0;0;0;2,0863;2,0863;0;-0,050012;0;0;2,0363;2,0363;2,0863;0;-0,050012;0;0;2,0363;2,0363;
20.08. 10:00;0,30271;0,27888;23,98;44,093;0,28748;31,54;12,043;1440;738,85;2,7537;0;0,016119;0;0,016119;0,30271;-0,0030271;0,0054197;-0,017625;0;0;0;0,28748;0,30271;-0,0030271;0,0054197;-0,017625;0;0;0;0,28748;13,473;0;0;-10,575;2,898;0,021025;0;-0,057268;0;0;0;-0,014309;2,8474;0;-0,016799;0;0;0;0;2,8306;13,473;0;0;-10,575;2,898;0;0,021025;-0,057268;0;0;0;-0,014309;2,8474;0;-0,016799;0;0;0;0;2,8306;2,8306;0;-0,060795;0;0;2,7698;2,7698;2,8306;0;-0,060795;0;0;2,7698;2,7698;
20.08. 11:00;0,32218;0,29988;24,51;49,56;0,30514;32,66;12,768;1440;736,97;2,9205;0;0,016191;0;0,016191;0,32218;-0,0032218;0,0057683;-0,019582;0;0;0;0,30514;0,32218;-0,0032218;0,0057683;-0,019582;0;0;0;0,30514;14,301;0;0;-11,225;3,0761;0,02612;0;-0,071327;0;0;0;-0,015154;3,0157;0;-0,016335;0;0;0;0;2,9994;14,301;0;0;-11,225;3,0761;0;0,02612;-0,071327;0;0;0;-0,015154;3,0157;0;-0,016335;0;0;0;0;2,9994;2,9994;0;-0,062723;0;0;2,9366;2,9366;2,9994;0;-0,062723;0;0;2,9366;2,9366;
20.08. 12:00;0,30081;0,28591;24,83;51,818;0,28204;32,46;11,769;1440;735,92;2,6906;0;0,016202;0;0,016202;0,30081;-0,0030081;0,0053857;-0,02115;0;0;0;0,28204;0,30081;-0,0030081;0,0053857;-0,02115;0;0;0;0,28204;13,218;0;0;-10,375;2,8431;0,018697;0;-0,064051;0;0;0;-0,013989;2,7838;0;-0,016932;0;0;0;0;2,7669;13,218;0;0;-10,375;2,8431;0;0,018697;-0,064051;0;0;0;-0,013989;2,7838;0;-0,016932;0;0;0;0;2,7669;2,7669;0;-0,060016;0;0;2,7068;2,7068;2,7669;0;-0,060016;0;0;2,7068;2,7068;
20.08. 13:00;0,29429;0,27956;25,05;50,267;0,27591;32,5;11,501;1440;735,34;2,6291;0;0,016032;0;0,016032;0,29429;-0,0029429;0,005269;-0,020704;0;0;0;0,27591;0,29429;-0,0029429;0,005269;-0,020704;0;0;0;0,27591;12,931;0;0;-10,15;2,7814;0,016633;0;-0,062929;0;0;0;-0,013675;2,7214;0;-0,017039;0;0;0;0;2,7044;12,931;0;0;-10,15;2,7814;0;0,016633;-0,062929;0;0;0;-0,013675;2,7214;0;-0,017039;0;0;0;0;2,7044;2,7044;0;-0,059227;0;0;2,6451;2,6451;2,7044;0;-0,059227;0;0;2,6451;2,6451;
20.08. 14:00;0,26684;0,25381;25,16;45,33;0,24972;31,94;10,38;1440;734,53;2,2223;0;0,16517;0;0,16517;0,26684;-0,0026684;0,0047775;-0,019233;0;0;0;0,24972;0,26684;-0,0026684;0,0047775;-0,019233;0;0;0;0,24972;11,703;0;0;-9,1859;2,5173;0,0080279;0;-0,052608;0;0;0;-0,012364;2,4604;0;-0,017248;0;0;0;0;2,4431;11,703;0;0;-9,1859;2,5173;0;0,0080279;-0,052608;0;0;0;-0,012364;2,4604;0;-0,017248;0;0;0;0;2,4431;2,4431;0;-0,055644;0;0;2,3875;2,3875;2,4431;0;-0,055644;0;0;2,3875;2,3875;
20.08. 15:00;0,21053;0,2023;25,12;38,056;0,19571;30,51;8,0547;1440;731,74;1,8365;0;0,016127;0;0,016127;0,21053;-0,0021053;0,0037693;-0,016487;0;0;0;0,19571;0,21053;-0,0021053;0,0037693;-0,016487;0;0;0;0,19571;9,172;0;0;-7,1991;1,9729;-0,010092;0;-0,032457;0;0;0;-0,0096516;1,9207;0;-0,019096;0;0;0;0;1,9016;9,172;0;0;-7,1991;1,9729;0;-0,010092;-0,032457;0;0;0;-0,0096516;1,9207;0;-0,019096;0;0;0;0;1,9016;1,9016;0;-0,048973;0;0;1,8526;1,8526;1,9016;0;-0,048973;0;0;1,8526;1,8526;
20.08. 16:00;0,16557;0,15868;24,94;29,423;0,15351;29,18;6,2181;1440;727,49;1,4142;0;0,015975;0;0,015975;0,16557;-0,0016557;0,0029644;-0,013369;0;0;0;0,15351;0,16557;-0,0016557;0,0029644;-0,013369;0;0;0;0,15351;7,1944;0;0;-5,6469;1,5475;-0,023945;0;-0,019127;0;0;0;-0,007522;1,4969;0;-0,021557;0;0;0;0;1,4753;7,1944;0;0;-5,6469;1,5475;0;-0,023945;-0,019127;0;0;0;-0,007522;1,4969;0;-0,021557;0;0;0;0;1,4753;1,4753;0;-0,045158;0;0;1,4302;1,4302;1,4753;0;-0,045158;0;0;1,4302;1,4302;
20.08. 17:00;0,09286;0,090421;24,5;20,132;0,08535;26,97;3,2643;1440;711,51;0,31761;0;0,43319;0;0,43319;0,09286;-0,0009286;0,0016626;-0,0082443;0;0;0;0,08535;0,09286;-0,0009286;0,0016626;-0,0082443;0;0;0;0,08535;4;0;0;-3,1396;0,86038;-0,042653;0;-0,0048362;0;0;0;-0,0040645;0,80883;0;-0,019188;0;0;0;0;0,78964;4;0;0;-3,1396;0,86038;0;-0,042653;-0,0048362;0;0;0;-0,0040645;0,80883;0;-0,019188;0;0;0;0;0,78964;0,78964;0;-0,038841;0;0;0,7508;0,7508;0,78964;0;-0,038841;0;0;0,7508;0,7508;
20.08. 18:00;0,04492;0,043776;23,65;10,675;0,040844;24,91;0,97732;1440;682,06;0;0,60084;0,82563;0;0,22478;0,04492;-0,0004492;0,00080424;-0,0044315;0;0;0;0,040844;0,04492;-0,0004492;0,00080424;-0,0044315;0;0;0;0,040844;1,9142;0;0;-1,5024;0,41173;-0,046887;0;0,00010029;0;0;0;-0,0018247;0,36312;0;-0,012387;0;0;0;0;0,35073;1,9142;0;0;-1,5024;0,41173;0;-0,046887;0,00010029;0;0;0;-0,0018247;0,36312;0;-0,012387;0;0;0;0;0,35073;0,35073;0;-0,12595;0;0;0,22478;0,22478;0,35073;0;-0,12595;0;0;0,22478;0,22478;
20.08. 19:00;0,00188;0,0018612;23,56;1,4458;0,0017266;23,7;-0,01087;0;0;0;0,91949;0,91699;0;0;0,00188;-1,88E-05;3,3658E-05;-0,0001683;0;0;0;0,0017266;0,00188;-1,88E-05;3,3658E-05;-0,0001683;0;0;0;0,0017266;0,080917;0;0;-0,063512;0,017405;-0,017405;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,080917;0;0;-0,063512;0,017405;0;-0,017405;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,0025;0;-0,0025;0;0;0;0;-0,0025;0;-0,0025;0;
20.08. 20:00;0;0;22,46;-7,1755;0;22,55;-0,01087;0;0;0;0,89152;0,88902;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,0025;0;-0,0025;0;0;0;0;-0,0025;0;-0,0025;0;
20.08. 21:00;0;0;21,32;-14,771;0;21,41;-0,01087;0;0;0;0,34686;0,34436;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,0025;0;-0,0025;0;0;0;0;-0,0025;0;-0,0025;0;
20.08. 22:00;0;0;20,04;-20,858;0;20,14;-0,01087;0;0;0;0,11574;0,11324;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,0025;0;-0,0025;0;0;0;0;-0,0025;0;-0,0025;0;
20.08. 23:00;0;0;19,05;-24,918;0;19,13;-0,01087;0;0;0;0,018716;0,016216;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,0025;0;-0,0025;0;0;0;0;-0,0025;0;-0,0025;0;
