Stunde;2019;2020;2021;2022
519;0.05969;0.04996;0.05136;0.18588
520;0.06509;0.0524;0.05449;0.1965
521;0.07021;0.05563;0.05731;0.19725
522;0.0788;0.06207;0.06448;0.22231
523;0.07413;0.06509;0.06677;0.23082
524;0.06446;0.05958;0.06389;0.21432
525;0.05834;0.05252;0.05493;0.20714
526;0.05538;0.04701;0.05291;0.19033
527;0.05659;0.04399;0.05179;0.19352
528;0.05372;0.0412;0.04582;0.17507
529;0.0532;0.0401;0.04461;0.17169
530;0.05392;0.03923;0.04339;0.18301
531;0.05311;0.03834;0.04438;0.18522
532;0.05119;0.03632;0.04231;0.17973
533;0.05102;0.0366;0.03891;0.17904
534;0.05505;0.04197;0.04197;0.17949
535;0.06396;0.047;0.0424;0.16823
536;0.08255;0.05874;0.04588;0.17245
537;0.09215;0.06662;0.05;0.18493
538;0.09365;0.06486;0.05692;0.19531
539;0.09193;0.06168;0.05815;0.19534
540;0.08807;0.05742;0.05895;0.19587
541;0.08496;0.05536;0.05663;0.19541
542;0.08399;0.05368;0.052;0.18629
543;0.08559;0.0512;0.051;0.18449
544;0.08687;0.05354;0.05365;0.19
545;0.08496;0.05475;0.0583;0.194
546;0.09001;0.06235;0.06309;0.21495
547;0.09376;0.06864;0.06613;0.23949
548;0.09054;0.0604;0.06329;0.24297
549;0.07849;0.05553;0.05816;0.22496
550;0.06893;0.04716;0.0528;0.20484
551;0.0651;0.0439;0.0512;0.201
552;0.059;0.04151;0.04718;0.17997
553;0.06188;0.03623;0.0448;0.18333
554;0.05908;0.0376;0.04067;0.17961
555;0.0579;0.03676;0.04124;0.1783
556;0.05637;0.0351;0.04024;0.17746
557;0.05695;0.03647;0.03978;0.17761
558;0.06153;0.03666;0.0399;0.18748
559;0.07598;0.04454;0.04056;0.22519
560;0.09907;0.05829;0.04197;0.265
561;0.11307;0.06674;0.046;0.30002
562;0.11123;0.065;0.05054;0.29939
563;0.10825;0.06112;0.05309;0.27588
564;0.10369;0.05884;0.05434;0.27
565;0.09833;0.05661;0.05186;0.24584
566;0.09263;0.05329;0.04599;0.24008
567;0.08986;0.052;0.04434;0.244
568;0.09045;0.05306;0.04593;0.25649
569;0.09501;0.05401;0.052;0.27357
570;0.10682;0.06079;0.06198;0.30738
571;0.12146;0.0651;0.065;0.34185
572;0.10206;0.05979;0.06291;0.31531
573;0.08934;0.04917;0.0593;0.27498
574;0.07443;0.04432;0.05576;0.25
575;0.06992;0.0437;0.05393;0.22681
576;0.06379;0.04067;0.04789;0.20692
577;0.06463;0.03619;0.04662;0.21598
578;0.06064;0.03509;0.04309;0.2129
579;0.0578;0.03701;0.043;0.20375
580;0.05544;0.03514;0.04259;0.19624
581;0.05528;0.03311;0.0422;0.19899
582;0.05898;0.03301;0.04566;0.21903
583;0.0711;0.03412;0.06195;0.27996
584;0.08448;0.0371;0.07;0.35624
585;0.097;0.04242;0.07562;0.39985
586;0.09364;0.04497;0.07967;0.39901
587;0.085;0.04596;0.07495;0.36
588;0.078;0.04489;0.0722;0.3474
589;0.07181;0.04367;0.06902;0.32892
590;0.06987;0.04114;0.067;0.305
591;0.06864;0.03961;0.06591;0.31
592;0.06558;0.04151;0.06601;0.313
593;0.06508;0.04353;0.06735;0.31867
594;0.07087;0.04625;0.07169;0.36643
595;0.07174;0.04999;0.07141;0.39906
596;0.05851;0.04584;0.06517;0.37375
597;0.05078;0.04301;0.06252;0.30968
598;0.05112;0.03825;0.05526;0.265
599;0.04716;0.04057;0.0535;0.24089
600;0.0429;0.03602;0.0477;0.21517
601;0.04429;0.03439;0.05095;0.20957
602;0.04261;0.03364;0.04957;0.21236
603;0.04251;0.0324;0.0469;0.21541
604;0.04196;0.02984;0.04469;0.20989
605;0.04165;0.02933;0.0461;0.20914
606;0.04072;0.02904;0.05102;0.21509
607;0.04153;0.03002;0.05733;0.24016
608;0.04236;0.02949;0.06905;0.29488
609;0.05137;0.03117;0.07395;0.31232
610;0.05628;0.03461;0.07173;0.31269
611;0.05862;0.03892;0.07391;0.30002
612;0.05918;0.04116;0.072;0.28265
613;0.05672;0.04186;0.07;0.25968
614;0.05744;0.03823;0.06591;0.24154
615;0.05332;0.03603;0.06633;0.23824
616;0.0528;0.03456;0.06815;0.23676
617;0.05244;0.03581;0.06875;0.24011
618;0.05595;0.03999;0.07373;0.26808
619;0.05792;0.042;0.07036;0.26246
620;0.05378;0.03547;0.06315;0.22445
621;0.04798;0.03127;0.06198;0.21743
622;0.04499;0.02753;0.05493;0.17134
623;0.0439;0.02909;0.05471;0.14294
624;0.03775;0.0275;0.04777;0.12234
625;0.02842;0.02809;0.04683;0.13159
626;0.02448;0.02773;0.04497;0.11502
627;0.01998;0.02613;0.04332;0.10865
628;0.01813;0.0234;0.04204;0.10094
629;0.01361;0.02198;0.04227;0.10306
630;0.01534;0.02617;0.04493;0.11003
631;0.00365;0.02883;0.05125;0.10403
632;0.02447;0.0422;0.06157;0.13879
633;0.02704;0.04156;0.06679;0.13823
634;0.03297;0.04029;0.06612;0.12879
635;0.03906;0.04271;0.06547;0.12874
636;0.04405;0.03995;0.06594;0.1278
637;0.04686;0.03802;0.06578;0.12624
638;0.04297;0.04072;0.06554;0.13578
