Zeit;Verbrauch ;PV-Ertrag;Netzeinspeisung ;Thermische Last ;Außentemperatur
08.01. 19:00;0,65171;0;0;2,29;1,41
08.01. 20:00;0,38149;0;0;2,45;1,03
08.01. 21:00;0,41582;0;0;2,43;0,65
08.01. 22:00;0,19684;0;0;1,3;0,27
08.01. 23:00;0,016057;0;0;1,03;-0,1
09.01. 00:00;0,016144;0;0;0,89;-0,44
09.01. 01:00;0,16487;0;0;0,77;-0,78
09.01. 02:00;0,016242;0;0;0,95;-1,13
09.01. 03:00;0,016142;0;0;0,94;-1,3
09.01. 04:00;0,016284;0;0;1,06;-1,48
09.01. 05:00;0,016295;0;0;1,25;-1,66
09.01. 06:00;0,36339;0;0;2,27;-1,78
09.01. 07:00;0,45709;0;0;2,29;-1,9
09.01. 08:00;0,20024;0;0;1,78;-1,88
09.01. 09:00;0,043926;0,014409;0;1,65;-1,61
09.01. 10:00;0,0161;0,023456;0,0073558;1,34;-1,48
09.01. 11:00;0,16728;0,13357;0;1,29;-1,23
09.01. 12:00;0,016173;0,11856;0,10238;1,04;-1,24
09.01. 13:00;0,016177;4,8487;4,8325;1,03;0,43
09.01. 14:00;0,016292;4,2104;4,1941;1,04;1,21
09.01. 15:00;0,016024;3,6161;3,6001;0,96;1,4
09.01. 16:00;0,16716;0,00031549;0;1,03;0,79
09.01. 17:00;0,74634;0;0;1,17;0,56
09.01. 18:00;1,533;0;0;1,39;0,33
09.01. 19:00;1,1081;0;0;1,8;0,1
09.01. 20:00;0,65026;0;0;1,8;-0,13
09.01. 21:00;0,67428;0;0;1,73;-0,36
09.01. 22:00;0,77771;0;0;1,05;-0,59
09.01. 23:00;0,016082;0;0;0,72;-0,82
10.01. 00:00;0,016088;0;0;0,59;-1,01
10.01. 01:00;0,016012;0;0;0,47;-1,19
10.01. 02:00;0,16657;0;0;0,41;-1,37
10.01. 03:00;0,016168;0;0;0,64;-1,46
10.01. 04:00;0,016186;0;0;0,74;-1,54
10.01. 05:00;0,016187;0;0;1,26;-1,62
10.01. 06:00;0,20211;0;0;2,68;-1,67
10.01. 07:00;0,80346;0;0;2,32;-1,72
10.01. 08:00;0,50094;0;0;1,88;-1,68
10.01. 09:00;0,20499;0,010009;0;1,54;-1,51
10.01. 10:00;0,016233;0,022334;0,006101;1,47;-1,22
10.01. 11:00;0,016068;0,050389;0,034321;1,06;-1,04
10.01. 12:00;0,16703;0,065913;0;0,92;-0,9
10.01. 13:00;0,016203;7,5216;7,5054;0,96;1,45
10.01. 14:00;0,016117;3,7531;3,737;1,03;2,25
10.01. 15:00;0,016135;1,4366;1,4205;1,01;2,27
10.01. 16:00;0,016292;0,00084011;0;1,01;1,6
10.01. 17:00;1,1912;0;0;1,37;1,42
10.01. 18:00;0,23415;0;0;1,59;1,24
10.01. 19:00;1,4684;0;0;1,74;1,06
10.01. 20:00;0,76356;0;0;1,83;0,87
10.01. 21:00;0,41063;0;0;1,79;0,69
10.01. 22:00;0,45862;0;0;0,95;0,51
10.01. 23:00;0,016202;0;0;0,7;0,33
11.01. 00:00;0,016208;0;0;0,57;0,09
11.01. 01:00;0,016126;0;0;0,44;-0,09
11.01. 02:00;0,01604;0;0;0,38;-0,27
11.01. 03:00;0,16586;0;0;0,38;-0,33
11.01. 04:00;0,016186;0;0;0,47;-0,39
11.01. 05:00;0,016046;0;0;0,8;-0,45
11.01. 06:00;0,20359;0;0;1,64;-0,47
11.01. 07:00;0,34713;0;0;1,32;-0,49
11.01. 08:00;0,38767;6,44E-05;0;1,17;-0,33
11.01. 09:00;0,01615;1,2949;1,2788;0,98;1
11.01. 10:00;0,016018;2,1745;2,1585;0,72;2,47
11.01. 11:00;0,016144;6,215;6,1989;0,76;4,64
11.01. 12:00;0,016151;3,6603;3,6442;0,69;5,61
11.01. 13:00;0,16669;0,66141;0,49472;0,67;5,02
11.01. 14:00;0,015999;1,2306;1,2146;0,58;4,92
11.01. 15:00;0,016336;1,074;1,0577;0,71;4,52
11.01. 16:00;0,016225;0,00087095;0;0,79;3,66
11.01. 17:00;1,2874;0;0;0,96;3,11
11.01. 18:00;1,1334;0;0;1,09;2,55
11.01. 19:00;1,177;0;0;1,3;2
11.01. 20:00;0,33784;0;0;1,34;1,44
11.01. 21:00;0,34436;0;0;1,14;0,89
11.01. 22:00;0,24152;0;0;0,74;0,33
