Zeit;Verbrauch ;PV-Ertrag;Netzeinspeisung ;Thermische Last 
09.01. 15:00;0,016024;3,6161;3,6001;4,5
09.01. 16:00;0,16716;0,00031549;0;4,7
09.01. 17:00;0,74634;0;0;4,9
09.01. 18:00;1,533;0;0;5,6
09.01. 19:00;1,1081;0;0;6
09.01. 20:00;0,65026;0;0;5,9
09.01. 21:00;0,67428;0;0;5,7
09.01. 22:00;0,77771;0;0;3,6
09.01. 23:00;0,016082;0;0;2,9
10.01. 00:00;0,016088;0;0;2,6
10.01. 01:00;0,016012;0;0;2,5
10.01. 02:00;0,16657;0;0;2,5
10.01. 03:00;0,016168;0;0;2,8
10.01. 04:00;0,016186;0;0;3,3
10.01. 05:00;0,016187;0;0;4,7
10.01. 06:00;0,20211;0;0;7
10.01. 07:00;0,80346;0;0;6,7
10.01. 08:00;0,50094;0;0;5,8
10.01. 09:00;0,20499;0,010009;0;5,2
10.01. 10:00;0,016233;0,022334;0,006101;5,1
10.01. 11:00;0,016068;0,050389;0,034321;4,6
10.01. 12:00;0,16703;0,065913;0;4,4
10.01. 13:00;0,016203;7,5216;7,5054;4
10.01. 14:00;0,016117;3,7531;3,737;4,4
10.01. 15:00;0,016135;1,4366;1,4205;4,1
10.01. 16:00;0,016292;0,00084011;0;4,6
10.01. 17:00;1,1912;0;0;5,3
10.01. 18:00;0,23415;0;0;5,9
10.01. 19:00;1,4684;0;0;5,9
10.01. 20:00;0,76356;0;0;6,2
10.01. 21:00;0,41063;0;0;6
10.01. 22:00;0,45862;0;0;3,5
10.01. 23:00;0,016202;0;0;2,8
11.01. 00:00;0,016208;0;0;2,7
11.01. 01:00;0,016126;0;0;2,5
11.01. 02:00;0,01604;0;0;2,5
11.01. 03:00;0,16586;0;0;2,5
11.01. 04:00;0,016186;0;0;2,8
11.01. 05:00;0,016046;0;0;4,2
11.01. 06:00;0,20359;0;0;6,5
11.01. 07:00;0,34713;0;0;5,6
11.01. 08:00;0,38767;6,44E-05;0;5
11.01. 09:00;0,01615;1,2949;1,2788;4,6
11.01. 10:00;0,016018;2,1745;2,1585;4
11.01. 11:00;0,016144;6,215;6,1989;4,2
11.01. 12:00;0,016151;3,6603;3,6442;3,8
11.01. 13:00;0,16669;0,66141;0,49472;3,9
11.01. 14:00;0,015999;1,2306;1,2146;3,5
11.01. 15:00;0,016336;1,074;1,0577;3,7
11.01. 16:00;0,016225;0,00087095;0;4,3
11.01. 17:00;1,2874;0;0;4,6
11.01. 18:00;1,1334;0;0;5,1
11.01. 19:00;1,177;0;0;5,1
11.01. 20:00;0,33784;0;0;5,4
11.01. 21:00;0,34436;0;0;4,7
11.01. 22:00;0,24152;0;0;3,3
11.01. 23:00;0,16793;0;0;3,1
12.01. 00:00;0,016178;0;0;2,8
12.01. 01:00;0,016093;0;0;2,7
